Number,Date,Time,Location,River,Latitude,Longitude,Water temperature (oC),pH (-),DO (mg/L),DO saturation (mg/L),Electrical conductivity (uS/cm),Total Dissolved Gas (mg/L),Salinity (PSU),Turbidity (NTU),Chlorophyll alpha (mg/L),Depth (cm),Velocity (m/s),Pool-riffle class (-),Left Bank,Right Bank,Shading,Erosion,Flow variation,BOD5 (mg/L),COD (mg/L),TN (mg/L),NH4+ (mg/L),NO2- (mg/L),NO3- (mg/L),TP (mg/L),PO43- (mg/L),Air temperature (oC),Wind (m/s),Rainfall (mm),Solar radiation (W/m2),Prati Index,Oregon Index,N2O dissolved gas (mg/L),CH4 dissolved gas (mg/L),CO2 dissolved gas (mg/L),CO2 Flux (mg/m2/d),CH4 Flux  (mg/m2/d),N2O Flux (mg/m2/d)
1,17/09/2018,10:25,TA08,Tarqui,-2.98863004,-79.07146002,14,8.56,7.24,87.9,49,30,0.002,4.6,0,20.33333333,1.026666667,5,Arable,Road,2,Limited,Low,1.74,5.96,0.465,0.078,0.005,0.173,0.065,0.077,18,1.3,0,386,Good Quality,Fair,0.876281362,1.378380711,1080.625597,562.878686,0.712242518,0.424232123
2,17/09/2018,11:00,TA04,Tarqui,-2.961607206,-79.0506314,15.7,8.53,7.3,96.4,59,37,0.02,15.7,0,30.33333333,0.71,5,Resident,Arable,1,Abundant,Low,2.25,14.6,0.773,0.174,0.008,0.326,0.102,0.302,18.3,1.3,0,426,Acceptable Quality,Poor,0.593651455,4.272109301,1057.474314,577.0826525,2.309534389,0.301049968
3,17/09/2018,11:20,TA03,Tarqui,-2.961094067,-79.05036699,15.3,7.55,7.56,96.5,52,33,0.02,1,0,24,0.54,4,Urban,Arable,2,Limited,Moderate,2.88,4.01,1.06,0.129,0.003,0.12,0.05,0.746,18.6,1.3,0,334,Good Quality,Poor,0.634582555,1.438539251,1045.239915,564.2625208,0.769544905,0.318375913
4,17/09/2018,12:00,TA24,Tarqui,-2.988697973,-79.04522104,16.6,8.35,6.67,94.2,139,90,0.05,1.7,0,47.33333333,0.62,4,Arable,Arable,1,Limited,Low,2.85,27.4,1.09,0.428,0.091,0.738,0.436,0.975,18.7,2.7,0,400,Acceptable Quality,Very Poor,0.738444633,19.26315183,1507.843418,1228.119025,15.52747084,0.558707071
5,17/09/2018,12:40,TA05,Tarqui,-2.963063978,-79.04963399,16.4,7.76,6.39,98.8,199,128,0.07,35.5,12,71.33333333,0.516666667,3,Arable,Road,2,Limited,Moderate,2.55,20.2,1.55,0.212,0.035,0.719,0.612,0.728,19.4,2.2,0,468,Acceptable Quality,Very Poor,0.613582051,11.02090352,1352.980655,954.0527564,7.69281708,0.401923362
6,17/09/2018,13:15,TA02,Tarqui,-2.918139215,-79.02263957,17.9,8.24,5.54,97,1093,709,0.58,98.9,13.4,30.33333333,0.473333333,4,Resident,Resident,1,Limited,Moderate,29.4,85.6,13.5,6.32,0.352,0.576,1.11,2.59,19.8,2.2,0,516,Very Heavily Polluted,Very Poor,18.44398047,22.45704364,6435.652859,4721.774534,16.28255643,12.5631096
7,17/09/2018,14:30,TA01,Tarqui,-2.917741172,-79.00428761,17.3,8.34,6.73,98.2,205,134,0.07,17.8,0,29,1.006666667,4,Resident,Resident,1,Absent,Moderate,4.38,28.8,2.59,0.734,0.137,0.498,0.25,3.73,21.5,1.3,0,754,Polluted,Very Poor,0.958546843,4.449750569,1496.067774,851.9754813,2.506438882,0.506979778
8,17/09/2018,15:20,YA16,Yanuncay,-2.915803956,-79.00908098,15.3,8.55,7.33,98.7,69,44,0.02,2.5,0,42.33333333,0.783333333,3,Road,Road,1,Limited,Moderate,6,16.52,0.904,0.127,0.01,0.195,0.039,0.031,20.7,2.7,0,300,Good Quality,Very Poor,0.550589838,0.810770333,815.4738168,641.1245606,0.631782486,0.402354876
9,17/09/2018,16:30,YA17,Yanuncay,-2.913117018,-78.99026097,16.3,8.34,7.2,96.4,122,78,0.04,3.9,0,33.33333333,1.053333333,3,Resident,Resident,5,Limited,Moderate,3.1,12.2,1.25,0.21,0.09,0.315,0.113,0.233,20.7,3.1,0,363,Acceptable Quality,Poor,0.754338067,1.621408027,1002.341072,904.1549977,1.44819076,0.632352394
10,18/09/2018,10:50,YA12,Yanuncay,-2.93166601,-79.19401296,14.3,8.3,7.1,95.3,49,31,0.02,0,0,31.33333333,0.68,4,Forest,Forest,1,Absent,High,5.5,9.02,0.79,0.091,0.003,0.146,0.006,0.03,20.5,3.1,0,963,Good Quality,Poor,0.515405616,0.088533099,853.2873572,728.884922,0.074951488,0.409162862
